iter	RMSE
0	8.226523839
1	8.013579929
2	7.789727428
3	7.59690436
4	7.403007865
5	7.211020438
6	7.03842645
7	6.856572311
8	6.6855149
9	6.473484218
10	6.306976957
11	6.152719887
12	5.971620259
13	5.823358187
14	5.691555013
15	5.559041281
16	5.4138228
17	5.287998392
18	5.152096379
19	5.071565819
20	4.93505914
21	4.821730986
22	4.733043389
23	4.644241213
24	4.53488307
25	4.437315634
26	4.339704181
27	4.254367517
28	4.166264868
29	4.066266072
30	3.996887635
31	3.909169858
32	3.84729866
33	3.770684714
34	3.692771877
35	3.621077497
36	3.554548235
37	3.49359908
38	3.452329976
39	3.397912132
40	3.330425611
41	3.265686898
42	3.192637732
43	3.139346124
44	3.107949842
45	3.049087628
46	3.00798517
47	2.954561237
48	2.897752092
49	2.837740482
50	2.787005462
51	2.749924475
52	2.722861347
53	2.66783392
54	2.643431989
55	2.605074935
56	2.568291869
57	2.525968337
58	2.482095294
59	2.451974238
60	2.413734164
61	2.369224143
62	2.342983848
63	2.325987401
64	2.284773234
65	2.246065563
66	2.219362254
67	2.191445368
68	2.165988137
69	2.128523181
70	2.098942019
71	2.068588429
72	2.034427156
73	2.003562118
74	1.970501905
75	1.943107797
76	1.920705498
77	1.90134951
78	1.880416816
79	1.849365751
80	1.817001624
81	1.789480212
82	1.763393151
83	1.740195565
84	1.718782569
85	1.694049392
86	1.668547001
87	1.641642337
88	1.631061655
89	1.607599578
90	1.587263146
91	1.565315483
92	1.552242764
93	1.531215383
94	1.511774634
95	1.503300419
96	1.483344924
97	1.472154224
98	1.463137571
99	1.448260308
100	1.429515065
101	1.418128079
102	1.400880536
103	1.385416766
104	1.367971772
105	1.357884304
106	1.343321296
107	1.330083048
108	1.315094885
109	1.297288893
110	1.279462578
111	1.262470766
112	1.24538206
113	1.234814805
114	1.221909687
115	1.213286616
116	1.197925188
117	1.183321396
118	1.168687311
119	1.156584982
120	1.146955964
121	1.133937649
122	1.12230827
123	1.114822171
124	1.100320978
125	1.085962888
126	1.071500128
127	1.062309958
