iter	Passed	Remaining
0	1	973
1	3	975
2	5	942
3	7	903
4	9	944
5	11	953
6	13	939
7	16	985
8	17	980
9	20	1018
10	23	1048
11	25	1038
12	27	1022
13	29	1015
14	30	1000
15	33	1003
16	35	1014
17	37	1003
18	39	987
19	40	969
20	41	944
21	42	913
22	43	902
23	44	891
24	46	881
25	47	873
26	49	866
27	50	858
28	52	852
29	53	844
30	55	839
31	57	836
32	58	831
33	60	827
34	61	821
35	63	816
36	64	811
37	66	807
38	67	795
39	68	789
40	70	785
41	71	782
42	73	779
43	74	776
44	75	766
45	77	763
46	78	759
47	80	758
48	82	756
49	83	754
50	85	752
51	87	751
52	88	748
53	90	747
54	93	754
55	94	748
56	95	745
57	97	743
58	99	741
59	100	739
60	102	738
61	104	735
62	105	732
63	107	731
64	109	729
65	110	728
66	112	726
67	113	723
68	115	722
69	117	722
70	119	721
71	121	720
72	122	718
73	124	716
74	126	715
75	128	715
76	130	714
77	132	716
78	134	714
79	135	712
80	137	712
81	139	710
82	141	710
83	142	705
84	144	703
85	145	702
86	147	699
87	148	697
88	150	695
89	152	694
90	154	692
91	155	690
92	157	689
93	159	686
94	160	684
95	161	679
96	163	677
97	164	675
98	166	674
99	168	674
100	170	672
101	172	671
102	173	670
103	176	672
104	178	672
105	180	671
106	182	671
107	184	669
108	186	668
109	188	669
110	191	670
111	193	669
112	194	667
113	196	665
114	198	663
115	200	662
116	202	661
117	204	660
118	206	660
119	208	659
120	210	657
121	211	656
122	213	654
123	215	652
124	217	652
125	219	650
126	221	649
127	223	649
128	225	647
129	227	646
130	228	644
131	230	643
132	232	642
133	234	640
134	236	639
135	237	634
136	238	632
137	240	631
138	242	630
139	244	629
140	246	628
141	248	626
142	250	624
143	251	622
144	253	620
145	255	620
146	258	621
147	260	619
148	262	617
149	263	615
150	265	614
151	268	614
152	270	614
153	281	632
154	283	631
155	286	631
156	288	630
157	290	628
158	292	628
159	295	627
160	296	625
161	298	623
162	300	621
163	302	619
164	303	616
165	306	617
166	308	615
167	310	613
168	312	611
169	314	610
170	316	608
171	318	607
172	320	605
173	322	603
174	324	603
175	326	601
176	328	599
177	330	597
178	332	595
179	334	594
180	336	592
181	338	590
182	340	589
183	341	586
184	343	584
185	345	582
186	347	580
187	348	578
188	350	577
189	352	574
190	353	572
191	355	570
192	357	568
193	358	566
194	360	563
195	362	561
196	364	559
197	366	559
198	369	558
199	371	557
200	373	556
201	375	554
202	377	552
203	379	551
204	381	549
205	383	547
206	386	546
207	388	544
208	389	542
209	391	540
210	393	538
211	394	536
212	396	534
213	399	533
214	400	531
215	403	529
216	405	528
217	406	526
218	408	523
219	410	521
220	411	519
221	413	517
222	415	515
223	416	513
224	418	511
225	419	509
226	422	507
227	424	505
228	425	503
229	427	501
230	428	499
231	430	497
232	432	495
233	434	494
234	436	492
235	438	490
236	440	489
237	442	487
238	444	484
239	445	482
240	447	480
241	449	478
242	450	476
243	452	474
244	454	472
245	455	470
246	457	468
247	459	466
248	460	464
249	462	462
250	463	460
251	465	457
252	466	455
253	468	453
254	470	451
255	471	449
256	473	448
257	475	445
258	477	444
259	478	442
260	480	440
261	482	438
262	484	436
263	485	434
264	487	432
265	488	429
266	490	427
267	491	425
268	493	423
269	494	421
270	496	419
271	498	417
272	500	416
273	501	414
274	503	411
275	505	409
276	506	408
277	508	405
278	509	403
279	511	401
280	512	399
281	514	397
282	515	395
283	517	393
284	518	391
285	520	389
286	521	387
287	523	385
288	524	383
289	526	381
290	527	378
291	529	376
292	530	374
293	532	372
294	533	370
295	535	368
296	536	366
297	538	364
298	539	362
299	541	360
300	542	358
301	544	356
302	545	354
303	546	352
304	548	350
305	549	348
306	551	346
307	552	344
308	554	342
309	555	340
310	557	338
311	558	336
312	560	334
313	561	332
314	563	330
315	564	328
316	566	326
